Number;Type;X;Y;Z
1;2;141.295699;75.046029;40.281257
1;2;-51.733573;75.046029;53.969897
1;2;137.432217;75.046029;13.177953
1;2;-44.083936;75.046029;80.256750
1;2;126.149533;75.046029;-11.766316
1;2;-29.394028;75.046029;103.359177
1;2;108.346420;75.046029;-32.564506
1;2;-8.834039;75.046029;121.436854
1;2;85.441063;75.046029;-47.559844
1;2;15.958235;75.046029;133.049722
1;2;59.258090;75.046029;-55.557811
1;2;43.007855;75.046029;137.272707
1;2;31.883221;75.046029;-55.921292
1;2;70.160064;75.046029;133.769409
1;2;5.497124;75.046029;-48.621333
1;2;95.251932;75.046029;122.818899
1;2;-17.798302;75.046029;-34.239445
1;2;116.284656;75.046029;105.293487
1;2;-36.147355;75.046029;-13.921281
1;2;131.582781;75.046029;82.589238
1;2;-48.088360;75.046029;10.714626
1;2;139.927668;75.046029;56.514760
1;2;-52.670104;75.046029;37.705795
1;2;140.654566;75.046029;29.147130
1;2;-49.527608;75.046029;64.902123
1;2;133.705572;75.046029;2.666438
1;2;-38.911201;75.046029;90.137167
1;2;119.634239;75.046029;-20.817879
1;2;-21.666580;75.046029;111.400718
1;2;99.561482;75.046029;-39.435073
1;2;0.832558;75.046029;126.998933
1;2;75.086283;75.046029;-51.702111
1;2;26.793946;75.046029;135.689268
1;2;48.158325;75.046029;-56.641806
1;2;54.149512;75.046029;136.779455
1;2;20.922671;75.046029;-53.860666
1;2;80.720130;75.046029;130.182652
1;2;-4.451100;75.046029;-43.580234
1;2;104.389199;75.046029;116.424354
1;2;-25.941729;75.046029;-26.619444
1;2;123.271253;75.046029;96.600542
1;2;-41.837285;75.046029;-4.329382
1;2;135.862161;75.046029;72.290367
1;2;-50.871537;75.046029;21.514338
1;2;141.158936;75.046029;45.430365
1;2;-52.324821;75.046029;48.853019
1;2;138.739642;75.046029;18.160187
1;2;-46.081370;75.046029;75.508879
1;2;128.796997;75.046029;-7.347838
1;2;-32.638534;75.046029;99.358527
1;2;112.123027;75.046029;-29.061757
1;2;-13.067160;75.046029;118.502113
1;2;90.045972;75.046029;-45.251851
1;2;11.073706;75.046029;131.414671
1;2;64.324475;75.046029;-54.628427
1;2;37.861016;75.046029;137.067593
1;2;37.007498;75.046029;-56.444552
1;2;65.160910;75.046029;135.010571
1;2;10.271095;75.046029;-50.555555
1;2;90.798693;75.046029;125.407466
1;2;-13.754928;75.046029;-37.430549
1;2;112.732075;75.046029;109.023256
1;2;-33.156671;75.046029;-18.115065
1;2;129.213853;75.046029;87.163098
1;2;-46.388602;75.046029;5.852236
1;2;138.931101;75.046029;61.568359
1;2;-52.396675;75.046029;32.562133
1;2;141.109746;75.046029;34.277902
1;2;-50.702288;75.046029;59.886932
1;2;135.576240;75.046029;7.465669
1;2;-41.440416;75.046029;85.649953
1;2;122.771379;75.046029;-16.732493
1;2;-25.348854;75.046029;107.798930
1;2;103.715190;75.046029;-36.388973
1;2;-3.709447;75.046029;124.569488
1;2;79.925678;75.046029;-49.937947
1;2;21.754022;75.046029;134.625694
1;2;53.297902;75.046029;-56.300110
1;2;49.013149;75.046029;137.166476
1;2;25.953017;75.046029;-54.968657
1;2;75.896486;75.046029;131.989437
1;2;0.069298;75.046029;-46.049650
1;2;100.262522;75.046029;119.506977
1;2;-22.291370;75.046029;-30.253573
1;2;120.170274;75.046029;100.713441
1;2;-39.347751;75.046029;-8.838732
1;2;134.033900;75.046029;77.105912
1;2;-49.741142;75.046029;16.488979
1;2;140.749033;75.046029;50.564953
1;2;-52.643613;75.046029;43.711970
1;2;139.780748;75.046029;23.204800
1;2;-47.823953;75.046029;70.661672
1;2;131.206180;75.046029;-2.795052
1;2;-35.666095;75.046029;95.191287
1;2;115.708372;75.046029;-25.363471
1;2;-17.138526;75.046029;115.346801
1;2;94.521871;75.046029;-42.702667
1;2;6.282858;75.046029;129.522637
1;2;69.334383;75.046029;-53.431412
1;2;32.732323;75.046029;136.589555
1;2;42.152327;75.046029;-56.695060
1;2;60.102920;75.046029;135.984610
1;2;15.141011;75.046029;-52.233630
1;2;86.214323;75.046029;127.755990
1;2;-9.547859;75.046029;-40.402516
1;2;108.986512;75.046029;112.559183
1;2;-29.947582;75.046029;-22.144180
1;2;126.605469;75.046029;91.604758
1;2;-44.433128;75.046029;1.086930
1;2;137.667676;75.046029;66.561933
1;2;-51.850587;75.046029;27.440239
1;2;141.291925;75.046029;39.425604
1;2;-51.609087;75.046029;54.816455
